"School","L1","L2","L3","UE","Decile","Region"
"Akaroa Area School",1,0.8,1,1,8,"Christchurch/Canterbury"
"Al-Madinah School",0.889,1,1,0.64,2,"Auckland"
"Albany Senior High School",0.905,0.904,0.882,0.701,10,"Auckland"
"Alfriston College",0.659,0.651,0.563,0.369,2,"Auckland"
"Amuri Area School",0.692,0.962,0.8,0.7,8,"Christchurch/Canterbury"
"Ao Tawhiti Unlimited Discovery",0.731,0.724,0.733,0.452,7,"Christchurch/Canterbury"
"Aorere College",0.657,0.824,0.67,0.329,2,"Auckland"
"Aotea College",0.826,0.819,0.523,0.372,5,"Wellington/Kapiti"
"Aparima College",0.967,0.9,0.769,0.429,6,"Invercargill/Southland"
"Aquinas College",0.932,0.989,0.948,0.875,8,"Bay of Plenty"
"Aranui High School",0.86,0.78,0.645,0.281,2,"Christchurch/Canterbury"
"Araura College",0.813,0.909,1,NA,0,"Pacific Islands"
"Ashburton College",0.885,0.907,0.731,0.538,6,"Christchurch/Canterbury"
"Auckland Girls' Grammar School",0.769,0.841,0.682,0.485,3,"Auckland"
"Auckland Grammar School",0.545,0.819,0.723,0.578,9,"Auckland"
"Auckland Seventh-Day Adventist High School",0.826,0.868,0.6,0.4,1,"Auckland"
"Aurora College",0.87,0.839,0.588,0.294,2,"Invercargill/Southland"
"Avondale College",0.941,0.908,0.889,0.643,4,"Auckland"
"Avonside Girls' High School",0.893,0.85,0.705,0.464,6,"Christchurch/Canterbury"
"Awatapu College",0.869,0.952,0.926,0.455,4,"Palmerston North/Manawatu"
"Baradene College of the Sacred Heart",0.976,1,0.973,0.946,9,"Auckland"
"Bay of Islands College",0.688,0.81,0.853,0.294,2,"Northland"
"Bayfield High School",0.835,0.879,0.877,0.712,7,"Dunedin/Otago"
"Bethlehem College",0.931,0.89,0.881,0.785,9,"Bay of Plenty"
"Birkenhead College",0.822,0.896,0.876,0.547,6,"Auckland"
"Bishop Viard College",0.838,0.911,0.649,0.459,1,"Wellington/Kapiti"
"Blue Mountain College",1,1,0.8,0.6,9,"Dunedin/Otago"
"Botany Downs Secondary College",0.875,0.946,0.887,0.785,9,"Auckland"
"Bream Bay College",0.831,0.927,0.743,0.571,5,"Northland"
"Broadwood Area School - Manganuiowae",1,0.889,1,0.25,1,"Northland"
"Buller High School",0.846,0.773,0.775,0.6,5,"West Coast"
"Burnside High School",0.871,0.906,0.838,0.684,8,"Christchurch/Canterbury"
"Cambridge High School",0.953,0.977,0.974,0.648,9,"Hamilton/Waikato"
"Campion College",0.812,0.918,0.78,0.66,6,"Gisborne/East Coast"
"Canterbury International College Limited (School)",NA,NA,0.182,0.182,0,"Christchurch/Canterbury"
"Carmel College",0.97,0.986,0.935,0.854,9,"Auckland"
"Cashmere High School",0.901,0.923,0.864,0.736,9,"Christchurch/Canterbury"
"Catholic Cathedral College",0.928,0.959,0.949,0.692,4,"Christchurch/Canterbury"
"Central Hawke's Bay College",0.779,0.816,0.638,0.413,4,"Hawkes Bay"
"Central Southland College",0.878,0.865,0.673,0.537,6,"Invercargill/Southland"
"Chanel College",0.725,0.741,0.769,0.538,5,"Wairarapa"
"Cheviot Area School",0.714,0.583,0.5,0.5,4,"Christchurch/Canterbury"
"Chilton Saint James School",0.977,0.947,1,0.975,10,"Wellington/Kapiti"
"Christ's College",0.96,0.983,0.924,0.89,10,"Christchurch/Canterbury"
"Christchurch Adventist School",1,1,0.818,0.545,5,"Christchurch/Canterbury"
"Christchurch Boys' High School",0.913,0.947,0.849,0.726,10,"Christchurch/Canterbury"
"Christchurch Girls' High School",0.957,0.99,0.959,0.842,9,"Christchurch/Canterbury"
"Christian Renewal School",0.867,0.941,0.714,0.429,4,"Northland"
"Coastal Taranaki School",0.882,0.923,0.75,0.5,7,"New Plymouth/Taranaki"
"Collingwood Area School",1,0.9,0.5,NA,7,"Nelson/Marlborough"
"Columba College",0.974,0.988,0.933,0.907,10,"Dunedin/Otago"
"Cornerstone Christian School",0.909,NA,NA,NA,7,"Palmerston North/Manawatu"
"Coromandel Area School",0.818,0.571,1,0.4,3,"Hamilton/Waikato"
