8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,165,7,8502,1491584325
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,165,7,8502,1491584325
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,165,7,8502,1491584325
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,165,7,8502,1491584325
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,95,NA,2,1464,1491585545
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,95,NA,2,1464,1491585545
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-24,12,2006,1491585696
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,95,NA,2,1464,1491585545
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-24,12,2006,1491585696
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,95,NA,2,1464,1491585545
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-24,12,2006,1491585696
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,95,NA,2,1464,1491585545
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-150,13,2010,1491585870
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,178,4,7062,1491585868
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-150,13,2010,1491585870
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,178,4,7062,1491585868
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-150,13,2010,1491585870
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,191,5,7164,1491585971
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-150,13,2010,1491585870
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,191,5,7164,1491585971
8300033770-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-150,13,2010,1491585870
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,148,7,8502,1491586108
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,148,7,8502,1491586108
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,148,7,8502,1491586108
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,212,NA,8,8512,1491586262
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,188,NA,9,8516,1491586328
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,184,10,8524,1491586414
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,184,10,8524,1491586414
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,193,11,8532,1491586513
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,193,11,8532,1491586513
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,193,11,8532,1491586513
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,193,11,8532,1491586513
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,193,11,8532,1491586513
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,26,2,1464,1491587276
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,26,2,1464,1491587276
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,26,2,1464,1491587276
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,26,2,1464,1491587276
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,26,2,1464,1491587276
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,141,3,7060,1491587541
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,10,12,2006,1491587530
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,141,3,7060,1491587541
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,10,12,2006,1491587530
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,267,NA,3,7060,1491587667
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,10,12,2006,1491587530
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,267,NA,3,7060,1491587667
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,10,12,2006,1491587530
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,267,NA,3,7060,1491587667
8300033768-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,10,12,2006,1491587530
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,267,NA,3,7060,1491587667
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,267,NA,3,7060,1491587667
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,-44,NA,7,8502,1491587956
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,-44,NA,7,8502,1491587956
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,-44,NA,7,8502,1491587956
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,-121,NA,9,8516,1491588179
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,-121,NA,9,8516,1491588179
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-165,10,8524,1491588285
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,-139,NA,10,8524,1491588311
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-206,11,8532,1491588394
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-206,11,8532,1491588394
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-206,11,8532,1491588394
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-206,11,8532,1491588394
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-206,11,8532,1491588394
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-12,NA,2,1464,1491589038
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-12,NA,2,1464,1491589038
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-12,NA,2,1464,1491589038
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-12,NA,2,1464,1491589038
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,109,3,7060,1491589309
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-741,12,2006,1491589359
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,109,3,7060,1491589309
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-741,12,2006,1491589359
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,109,3,7060,1491589309
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-741,12,2006,1491589359
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,272,NA,3,7060,1491589472
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-741,12,2006,1491589359
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,153,NA,4,7062,1491589503
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-837,13,2010,1491589563
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,110,5,7164,1491589610
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-837,13,2010,1491589563
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,110,5,7164,1491589610
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-837,13,2010,1491589563
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,110,5,7164,1491589610
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-837,13,2010,1491589563
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-23,7,8502,1491589777
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-837,13,2010,1491589563
