route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Silverdale To Whangaparaoa College,3,,BAYES,01761-20170524122152_v54.17,,017
Westlake Girls To Glenfield Mall,3,,BTL,01558-20170524122152_v54.17,,015
Belmont Intermediate To Stanley Bay,3,,RTH,08152-20170524122152_v54.17,,081
Mairangi Bay To Westlake Schools,3,,NZBNS,01455-20170524122152_v54.17,,014
Manukau Station To Panmure Via East Tamaki,3,,HE,35201-20170524122152_v54.17,,352
City To Papakura Via Manurewa (Express),3,,RTH,36004-20170524122152_v54.17,,360X
Glen Eden To New Lynn Via Titirangi,3,,NZBGW,17201-20170524122152_v54.17,,172
Westlake Schools To Albany Via Albany Hwy,3,,NZBNS,02058-20170524122152_v54.17,,020
City Centre To Orakei V Remuera GlenInnes And StHeliers,3,,NZBML,52602-20170524122152_v54.17,,N62
Swanson To New Lynn,3,,NZBGW,13503-20170524122152_v54.17,,135
Henderson To City Centre Express Via Glendene,3,,NZBGW,11011-20170524122152_v54.17,,11X
Pt Chevalier To Britomart Via Westmere,3,,NZBML,00501-20170524122152_v54.17,,005
Pt Chevalier To St Heliers,3,,NZBML,00710-20170524122152_v54.17,,007
Civic Centre To Lynfield Via Flyover,3,,NZBML,26704-20170524122152_v54.17,,267
Manukau Station To Papakura Interchange Station Via Porchest,3,,RTH,36502-20170524122152_v54.17,,365
Henderson To Hobsonville,3,,RTH,09204-20170524122152_v54.17,,092
Newmarket Train Station to Henderson Train Station,2,,AM,10216-20170524122152_v54.17,,WEST
Gulf Harbour To HC Station,3,,NZBNS,98203-20170524122152_v54.17,,982
Takapuna To Glenfield Via Northcote,3,,RTH,91102-20170524122152_v54.17,,911
Outer Link St Lukes To CBD Anticlockwise,3,,NZBML,72107-20170524122152_v54.17,,OUT
Bayswater Wharf To Takapuna Via Francis St,3,,RTH,80407-20170524122152_v54.17,,804
City Centre To Swanson,3,,NZBGW,08502-20170524122152_v54.17,,085
Victoria Ave To City Centre,3,,NZBML,60503-20170524122152_v54.17,,605
Otahuhu Town Centre To Ellerslie Penrose Schools,3,,GBT,06551-20170524122152_v54.17,,065
Manukau Train Station to Britomart Train Station,2,,AM,50151-20170524122152_v54.17,,EAST
Devonport To Takapuna Via Narrow Neck (N),3,,NZBNS,81301-20170524122152_v54.17,,813
"Albany Station to HC Station via Albany Centre, Massey Uni",3,,NZBNS,98602-20170524122152_v54.17,,986
Mayoral Dr To Constellation Station Express,3,,NZBNS,87404-20170524122152_v54.17,,874X
Waikowhai Intermediate to Lynfield,3,,NZBML,02262-20170524122152_v54.17,,022
Beach Haven Wharf To Auckland University,3,,BTL,97201-20170524122152_v54.17,,972
Greenhithe To Albany Schools,3,,RTH,11651-20170524122152_v54.17,,116
Glenfield To City Centre Express,3,,RTH,94503-20170524122152_v54.17,,945X
City Centre To Mt Albert Vi Sandringham And BlockhouseBay,3,,NZBML,52204-20170524122152_v54.17,,N24
North Park To Britomart Via Newmarket,3,,HE,55101-20170524122152_v54.17,,551
Inner Link Newmarket To CBD Anticlockwise,3,,NZBML,79803-20170524122152_v54.17,,INN
Inner Link K Rd To CBD Anticlockwise,3,,NZBML,79805-20170524122152_v54.17,,INN
Northcross To East Coast Bays Schools,3,,NZBNS,04851-20170524122152_v54.17,,048
New Lynn To Blockhouse Bay Via Green Bay (N),3,,NZBGW,19513-20170524122152_v54.17,,195
Bucklands Beach To Britomart Via Newmarket,3,,HE,55201-20170524122152_v54.17,,552
Mayoral Dr To Unsworth Heights Express,3,,RTH,90002-20170524122152_v54.17,,900X
Northcote Intermediate And St Marys Primary To Hillcrest,3,,BTL,03256-20170524122152_v54.17,,032
Orakei Primary To Kohimarama,3,,NZBML,00856-20170524122152_v54.17,,008
Sacred Heart College To Bucklands Beach,3,,HE,02158-20170524122152_v54.17,,021
Mangere Bridge Shops To Holy Cross School (Papatoetoe),3,,GBT,00351-20170524122152_v54.17,,003
Midtown To Beach Haven Via Highbury Bypass,3,,BTL,97406-20170524122152_v54.17,,974
Waiheke Island 1 To Auckland 2,4,,FGL,98011-20170524122152_v54.17,,MTIA
Cockle Bay To Britomart Express,3,,HE,55003-20170524122152_v54.17,,550X
Takapuna To Westgate,3,,RTH,13007-20170524122152_v54.17,,130
Homai To Rosehill Schools,3,,RTH,05853-20170524122152_v54.17,,058
Newmarket Train Station to Swanson Train Station,2,,AM,10214-20170524122152_v54.17,,WEST
Gulf Harbour To Auckland,4,,360D,93011-20170524122152_v54.17,,GULF
Newmarket Train Station to Onehunga Train Station,2,,AM,40038-20170524122152_v54.17,,ONE
Titirangi To City Centre Via Green Bay And New North Rd (N),3,,NZBGW,20911-20170524122152_v54.17,,209
Puhinui Train Station to Britomart Train Station,2,,AM,20441-20170524122152_v54.17,,STH
Birkenhead Schools To Chatswood,3,,BTL,07956-20170524122152_v54.17,,079
New Lynn To Remuera Schools Via Titirangi,3,,RTH,00651-20170524122152_v54.17,,006
Beach Haven To Midtown Via Birkdale Rd,3,,BTL,97301-20170524122152_v54.17,,973
Britomart To Westmere Express,3,,NZBML,02004-20170524122152_v54.17,,020X
Sacred Heart College To Balmoral,3,,NZBML,00760-20170524122152_v54.17,,007
Long Bay To Constellation Station Via Browns Bay,3,,RTH,88601-20170524122152_v54.17,,886
Epsom Schools To St Heliers Via Glendowie,3,,NZBML,00352-20170524122152_v54.17,,003
Westlake Schools To Torbay,3,,NZBNS,02556-20170524122152_v54.17,,025
Pinehill To Westlake Schools,3,,NZBNS,03155-20170524122152_v54.17,,031
Macleans College To Botany,3,,HE,08256-20170524122152_v54.17,,082
Albany Heights To Albany Schools,3,,RTH,06151-20170524122152_v54.17,,061
Glenfield To Takapuna Via Northcote,3,,RTH,91103-20170524122152_v54.17,,911
Sacred Heart College To Remuera,3,,HE,02054-20170524122152_v54.17,,020
Midtown To Verrans Corner Via Onewa Rd,3,,BTL,97002-20170524122152_v54.17,,970
Otahuhu Schools To Mt Wellington,3,,GBT,01754-20170524122152_v54.17,,017
Matiatia Wharf To Rocky Bay Via Ostend & Onetangi,3,,WBC,00302-20170524122152_v54.17,,3
Bucklands Beach To Baradene College,3,,HE,01151-20170524122152_v54.17,,011
Takapuna To Beach Haven Via Rangatira Rd,3,,BTL,97504-20170524122152_v54.17,,975
Epsom Schools To St Heliers Via Orakei,3,,NZBML,00252-20170524122152_v54.17,,002
Britomart to Otahuhu Station via Ruawai Rd and Panama Rd,3,,NZBML,51502-20170524122152_v54.17,,515
Otahuhu Train Station to Britomart Train Station,2,,AM,50179-20170524122152_v54.17,,EAST
Avondale College To Glendene,3,,RTH,01560-20170524122152_v54.17,,015
Albany Schools To Greenhithe,3,,RTH,11650-20170524122152_v54.17,,116
Mcauley High To Flat Bush,3,,GBT,02254-20170524122152_v54.17,,022
City Centre To Helensville,3,,RTH,06002-20170524122152_v54.17,,060
Baradene College To Panmure,3,,HE,02252-20170524122152_v54.17,,022
Botany Town Centre To Mangere Town Centre Via Otara,3,,GBT,03102-20170524122152_v54.17,,31
Civic Centre To Onehunga,3,,NZBML,30202-20170524122152_v54.17,,302
Remuera Primary To Ellerslie,3,,NZBML,01954-20170524122152_v54.17,,019
Remuera To Selwyn College,3,,NZBML,07453-20170524122152_v54.17,,074
Otara / Mit To Manurewa Interchange Via Mahia Rd,3,,RTH,36102-20170524122152_v54.17,,361
Universities To Windy Ridge,3,,BTL,95302-20170524122152_v54.17,,953
Auckland University To Beach Haven Wharf,3,,BTL,97202-20170524122152_v54.17,,972
Campbells Bay To Westlake Schools,3,,NZBNS,05351-20170524122152_v54.17,,053
Kingsland Train Station to Britomart Train Station,2,,AM,10017-20170524122152_v54.17,,WEST
Onehunga High To Favona,3,,GBT,00254-20170524122152_v54.17,,002
Pinehill To Long Bay College,3,,NZBNS,07153-20170524122152_v54.17,,071
Otahuhu to Britomart Via Panmure and Glen Innes and Mission,3,,NZBML,75703-20170524122152_v54.17,,757
Britomart To Upland Rd Via Parnell And Remuera Rd,3,,NZBML,64302-20170524122152_v54.17,,643
Henderson To New Lynn,3,,NZBGW,15303-20170524122152_v54.17,,153
Beach Haven To Takapuna Via North Shore Hospital,3,,BTL,97503-20170524122152_v54.17,,975
Mangere Town Centre To Onehunga Schools,3,,GBT,06159-20170524122152_v54.17,,061
Wattle Downs To Rosehill Schools,3,,RTH,05651-20170524122152_v54.17,,056
Henderson To City Centre,3,,NZBGW,22401-20170524122152_v54.17,,224
Upper Harbour Primary To Oakway Dr,3,,RTH,07054-20170524122152_v54.17,,070
Smales Rd To Somerville Intermediate And Howick College,3,,HE,31551-20170524122152_v54.17,,315
Verrans Corner To Glenfield Schools,3,,BTL,07751-20170524122152_v54.17,,077
Britomart to Mt Wellington via Mt Wellington Highway,3,,NZBML,52504-20170524122152_v54.17,,525
Westlake Schools To Glenfield,3,,NZBNS,05754-20170524122152_v54.17,,057
Rangitoto College To Takapuna,3,,NZBNS,06654-20170524122152_v54.17,,066
Tuakau to Pukekohe,3,,RTH,39801-20170524122152_v54.17,,398
St Josephs School (Onehunga) To Mangere Town Centre,3,,GBT,08454-20170524122152_v54.17,,084
Howick Intermediate To Manukau Station,3,,HE,05858-20170524122152_v54.17,,058
Britomart Train Station to Papakura Train Station,2,,AM,20320-20170524122152_v54.17,,STH
Long Bay To City Centre Express,3,,NZBNS,76003-20170524122152_v54.17,,76X
Mayoral Dr To Castor Bay,3,,NZBNS,82202-20170524122152_v54.17,,822
Britomart To Bucklands Beach Via Newmarket,3,,HE,55202-20170524122152_v54.17,,552
Britomart Train Station to Papakura Train Station,2,,AM,20298-20170524122152_v54.17,,STH
Massey University To Glenfield,3,,RTH,56002-20170524122152_v54.17,,560
Botany Town Centre To Bucklands Beach Via Highland Park,3,,HE,54501-20170524122152_v54.17,,545
New Lynn To City Centre Via Sandringham Road And St Lukes,3,,NZBML,23301-20170524122152_v54.17,,233
Rutherford College To Henderson,3,,RTH,01454-20170524122152_v54.17,,014
Botany Downs To Sacred Heart College,3,,HE,01451-20170524122152_v54.17,,014
Westgate To City Centre Via Massey East,3,,RTH,09001-20170524122152_v54.17,,090
Midtown To Constellation Station,3,,BTL,95802-20170524122152_v54.17,,958
Browns Bay To Mayoral Dr Via Crown Hill,3,,NZBNS,83401-20170524122152_v54.17,,834
Westgate To Hobsonville,3,,RTH,09206-20170524122152_v54.17,,092
Papakura Shops To Red Hill,3,,RTH,37302-20170524122152_v54.17,,373
Albany Village To Newmarket,3,,NZBNS,89103-20170524122152_v54.17,,891X
Westmere To Britomart Via Wellington St,3,,NZBML,02001-20170524122152_v54.17,,020
Waitakere Station to Swanson Station,3,,NZBGW,13901-20170524122152_v54.17,,139
Blockhouse Bay To Midtown Express Via New Windsor,3,,NZBML,24803-20170524122152_v54.17,,248X
St Heliers To Newmarket Via Mission Bay,3,,NZBML,77101-20170524122152_v54.17,,771
Matiatia Wharf To Rocky Bay Via Ostend & Onetangi (S),3,,WBC,00310-20170524122152_v54.17,,3
Henderson Valley To Kelston Schools,3,,RTH,02151-20170524122152_v54.17,,021
Glenfield to Massey University,3,,RTH,56001-20170524122152_v54.17,,560
City Centre To Lynfield Via Dominion Rd,3,,NZBML,52206-20170524122152_v54.17,,N26
Chatswood To Northcote Schools,3,,BTL,08051-20170524122152_v54.17,,080
Auckland To Hobsonville Via Beach Haven,4,,360D,96012-20170524122152_v54.17,,HOBS
Manurewa High to Weymouth And Wattle Downs,3,,RTH,00450-20170524122152_v54.17,,004
Beach Haven To Newmarket Via Ponsonby,3,,BTL,96601-20170524122152_v54.17,,966
Matiatia Wharf To Rocky Bay via Pacific Pde,3,,WBC,00204-20170524122152_v54.17,,2X
Westlake Schools To Glenfield Shops,3,,NZBNS,07452-20170524122152_v54.17,,074
Sylvia Park to Britomart,3,,NZBML,71901-20170524122152_v54.17,,719
Massey University To Highbury,3,,RTH,55503-20170524122152_v54.17,,555
Wairau Intermediate To Birkdale,3,,BTL,07358-20170524122152_v54.17,,073
Matiatia Wharf To Onetangi,3,,WBC,00104-20170524122152_v54.17,,1
City Centre To Ranui Via Te Atatu South,3,,NZBGW,09702-20170524122152_v54.17,,097
Britomart to HC Station via all Busway Stations (S),3,,RTH,10008-20170524122152_v54.17,,NEX
Howick To Middlemore Via Otara And Highbrook,3,,HE,57503-20170524122152_v54.17,,575
Britomart To Glen Innes Via Parnell And Grand Dr,3,,NZBML,63502-20170524122152_v54.17,,635
Auckland To Birkenhead Via Northcote Point,4,,FGL,91012-20170524122152_v54.17,,BIRK
Baradene College To St Heliers,3,,NZBML,02152-20170524122152_v54.17,,021
Britomart To North Park Via Newmarket,3,,HE,55102-20170524122152_v54.17,,551
International Airport To Downtown Via Mt Eden Rd,3,,ABEXP,30003-20170524122152_v54.17,,SKY
